evict times: 100, mal rules: 72, norm rules: 28
evict times: 120, mal rules: 87, norm rules: 33
evict times: 140, mal rules: 105, norm rules: 35
evict times: 160, mal rules: 120, norm rules: 40
evict times: 180, mal rules: 137, norm rules: 43
evict times: 200, mal rules: 153, norm rules: 47
evict times: 220, mal rules: 172, norm rules: 48
evict times: 240, mal rules: 187, norm rules: 53
evict times: 260, mal rules: 204, norm rules: 56
evict times: 280, mal rules: 220, norm rules: 60
evict times: 300, mal rules: 237, norm rules: 63
evict times: 320, mal rules: 252, norm rules: 68
evict times: 340, mal rules: 269, norm rules: 71
evict times: 360, mal rules: 282, norm rules: 78
evict times: 380, mal rules: 300, norm rules: 80
evict times: 400, mal rules: 315, norm rules: 85
evict times: 420, mal rules: 334, norm rules: 86
evict times: 440, mal rules: 350, norm rules: 90
evict times: 460, mal rules: 368, norm rules: 92
evict times: 480, mal rules: 385, norm rules: 95
evict times: 500, mal rules: 403, norm rules: 97
evict times: 520, mal rules: 421, norm rules: 99
evict times: 540, mal rules: 437, norm rules: 103
evict times: 560, mal rules: 456, norm rules: 104
evict times: 580, mal rules: 473, norm rules: 107
evict times: 600, mal rules: 489, norm rules: 111
evict times: 620, mal rules: 507, norm rules: 113
evict times: 640, mal rules: 523, norm rules: 117
evict times: 660, mal rules: 537, norm rules: 123
evict times: 680, mal rules: 553, norm rules: 127
evict times: 700, mal rules: 570, norm rules: 130
evict times: 720, mal rules: 586, norm rules: 134
evict times: 740, mal rules: 603, norm rules: 137
evict times: 760, mal rules: 617, norm rules: 143
evict times: 780, mal rules: 633, norm rules: 147
evict times: 800, mal rules: 649, norm rules: 151
evict times: 820, mal rules: 668, norm rules: 152
evict times: 840, mal rules: 683, norm rules: 157
evict times: 860, mal rules: 700, norm rules: 160
evict times: 880, mal rules: 719, norm rules: 161
evict times: 900, mal rules: 733, norm rules: 167
evict times: 920, mal rules: 753, norm rules: 167
evict times: 940, mal rules: 767, norm rules: 173
evict times: 960, mal rules: 786, norm rules: 174
evict times: 980, mal rules: 806, norm rules: 174
evict times: 1000, mal rules: 823, norm rules: 177
