evict times: 100, mal rules: 46, norm rules: 54
evict times: 120, mal rules: 58, norm rules: 62
evict times: 140, mal rules: 67, norm rules: 73
evict times: 160, mal rules: 82, norm rules: 78
evict times: 180, mal rules: 93, norm rules: 87
evict times: 200, mal rules: 108, norm rules: 92
evict times: 220, mal rules: 123, norm rules: 97
evict times: 240, mal rules: 135, norm rules: 105
evict times: 260, mal rules: 148, norm rules: 112
evict times: 280, mal rules: 157, norm rules: 123
evict times: 300, mal rules: 171, norm rules: 129
evict times: 320, mal rules: 186, norm rules: 134
evict times: 340, mal rules: 201, norm rules: 139
evict times: 360, mal rules: 211, norm rules: 149
evict times: 380, mal rules: 223, norm rules: 157
evict times: 400, mal rules: 236, norm rules: 164
evict times: 420, mal rules: 247, norm rules: 173
evict times: 440, mal rules: 262, norm rules: 178
evict times: 460, mal rules: 276, norm rules: 184
evict times: 480, mal rules: 290, norm rules: 190
evict times: 500, mal rules: 302, norm rules: 198
evict times: 520, mal rules: 313, norm rules: 207
evict times: 540, mal rules: 324, norm rules: 216
evict times: 560, mal rules: 341, norm rules: 219
evict times: 580, mal rules: 353, norm rules: 227
evict times: 600, mal rules: 365, norm rules: 235
evict times: 620, mal rules: 378, norm rules: 242
evict times: 640, mal rules: 393, norm rules: 247
evict times: 660, mal rules: 407, norm rules: 253
evict times: 680, mal rules: 419, norm rules: 261
evict times: 700, mal rules: 433, norm rules: 267
evict times: 720, mal rules: 450, norm rules: 270
evict times: 740, mal rules: 460, norm rules: 280
evict times: 760, mal rules: 471, norm rules: 289
evict times: 780, mal rules: 484, norm rules: 296
evict times: 800, mal rules: 501, norm rules: 299
evict times: 820, mal rules: 511, norm rules: 309
evict times: 840, mal rules: 524, norm rules: 316
evict times: 860, mal rules: 538, norm rules: 322
evict times: 880, mal rules: 548, norm rules: 332
evict times: 900, mal rules: 567, norm rules: 333
evict times: 920, mal rules: 582, norm rules: 338
evict times: 940, mal rules: 590, norm rules: 350
evict times: 960, mal rules: 604, norm rules: 356
evict times: 980, mal rules: 616, norm rules: 364
evict times: 1000, mal rules: 633, norm rules: 367
