evict times: 100, mal rules: 81, norm rules: 19
evict times: 120, mal rules: 93, norm rules: 27
evict times: 140, mal rules: 109, norm rules: 31
evict times: 160, mal rules: 123, norm rules: 37
evict times: 180, mal rules: 138, norm rules: 42
evict times: 200, mal rules: 153, norm rules: 47
evict times: 220, mal rules: 168, norm rules: 52
evict times: 240, mal rules: 181, norm rules: 59
evict times: 260, mal rules: 195, norm rules: 65
evict times: 280, mal rules: 211, norm rules: 69
evict times: 300, mal rules: 225, norm rules: 75
evict times: 320, mal rules: 238, norm rules: 82
evict times: 340, mal rules: 252, norm rules: 88
evict times: 360, mal rules: 270, norm rules: 90
evict times: 380, mal rules: 283, norm rules: 97
evict times: 400, mal rules: 295, norm rules: 105
evict times: 420, mal rules: 311, norm rules: 109
evict times: 440, mal rules: 326, norm rules: 114
evict times: 460, mal rules: 339, norm rules: 121
evict times: 480, mal rules: 351, norm rules: 129
evict times: 500, mal rules: 368, norm rules: 132
evict times: 520, mal rules: 381, norm rules: 139
evict times: 540, mal rules: 395, norm rules: 145
evict times: 560, mal rules: 409, norm rules: 151
evict times: 580, mal rules: 426, norm rules: 154
evict times: 600, mal rules: 439, norm rules: 161
evict times: 620, mal rules: 453, norm rules: 167
evict times: 640, mal rules: 471, norm rules: 169
evict times: 660, mal rules: 483, norm rules: 177
evict times: 680, mal rules: 498, norm rules: 182
evict times: 700, mal rules: 511, norm rules: 189
evict times: 720, mal rules: 525, norm rules: 195
evict times: 740, mal rules: 537, norm rules: 203
evict times: 760, mal rules: 554, norm rules: 206
evict times: 780, mal rules: 569, norm rules: 211
evict times: 800, mal rules: 581, norm rules: 219
evict times: 820, mal rules: 595, norm rules: 225
evict times: 840, mal rules: 611, norm rules: 229
evict times: 860, mal rules: 626, norm rules: 234
evict times: 880, mal rules: 641, norm rules: 239
evict times: 900, mal rules: 656, norm rules: 244
evict times: 920, mal rules: 671, norm rules: 249
evict times: 940, mal rules: 686, norm rules: 254
evict times: 960, mal rules: 703, norm rules: 257
evict times: 980, mal rules: 716, norm rules: 264
evict times: 1000, mal rules: 730, norm rules: 270
