evict times: 100, mal rules: 71, norm rules: 29
evict times: 120, mal rules: 87, norm rules: 33
evict times: 140, mal rules: 99, norm rules: 41
evict times: 160, mal rules: 114, norm rules: 46
evict times: 180, mal rules: 129, norm rules: 51
evict times: 200, mal rules: 139, norm rules: 61
evict times: 220, mal rules: 158, norm rules: 62
evict times: 240, mal rules: 174, norm rules: 66
evict times: 260, mal rules: 186, norm rules: 74
evict times: 280, mal rules: 202, norm rules: 78
evict times: 300, mal rules: 216, norm rules: 84
evict times: 320, mal rules: 232, norm rules: 88
evict times: 340, mal rules: 250, norm rules: 90
evict times: 360, mal rules: 261, norm rules: 99
evict times: 380, mal rules: 277, norm rules: 103
evict times: 400, mal rules: 293, norm rules: 107
evict times: 420, mal rules: 307, norm rules: 113
evict times: 440, mal rules: 321, norm rules: 119
evict times: 460, mal rules: 340, norm rules: 120
evict times: 480, mal rules: 352, norm rules: 128
evict times: 500, mal rules: 371, norm rules: 129
evict times: 520, mal rules: 384, norm rules: 136
evict times: 540, mal rules: 398, norm rules: 142
evict times: 560, mal rules: 415, norm rules: 145
evict times: 580, mal rules: 429, norm rules: 151
evict times: 600, mal rules: 441, norm rules: 159
evict times: 620, mal rules: 457, norm rules: 163
evict times: 640, mal rules: 472, norm rules: 168
evict times: 660, mal rules: 487, norm rules: 173
evict times: 680, mal rules: 500, norm rules: 180
evict times: 700, mal rules: 518, norm rules: 182
evict times: 720, mal rules: 534, norm rules: 186
evict times: 740, mal rules: 548, norm rules: 192
evict times: 760, mal rules: 565, norm rules: 195
evict times: 780, mal rules: 577, norm rules: 203
evict times: 800, mal rules: 592, norm rules: 208
evict times: 820, mal rules: 609, norm rules: 211
evict times: 840, mal rules: 621, norm rules: 219
evict times: 860, mal rules: 636, norm rules: 224
evict times: 880, mal rules: 652, norm rules: 228
evict times: 900, mal rules: 667, norm rules: 233
evict times: 920, mal rules: 681, norm rules: 239
evict times: 940, mal rules: 697, norm rules: 243
evict times: 960, mal rules: 710, norm rules: 250
evict times: 980, mal rules: 720, norm rules: 260
evict times: 1000, mal rules: 735, norm rules: 265
