evict times: 100, mal rules: 75, norm rules: 25
evict times: 120, mal rules: 90, norm rules: 30
evict times: 140, mal rules: 104, norm rules: 36
evict times: 160, mal rules: 120, norm rules: 40
evict times: 180, mal rules: 136, norm rules: 44
evict times: 200, mal rules: 152, norm rules: 48
evict times: 220, mal rules: 168, norm rules: 52
evict times: 240, mal rules: 183, norm rules: 57
evict times: 260, mal rules: 199, norm rules: 61
evict times: 280, mal rules: 211, norm rules: 69
evict times: 300, mal rules: 225, norm rules: 75
evict times: 320, mal rules: 241, norm rules: 79
evict times: 340, mal rules: 258, norm rules: 82
evict times: 360, mal rules: 271, norm rules: 89
evict times: 380, mal rules: 287, norm rules: 93
evict times: 400, mal rules: 302, norm rules: 98
evict times: 420, mal rules: 314, norm rules: 106
evict times: 440, mal rules: 329, norm rules: 111
evict times: 460, mal rules: 341, norm rules: 119
evict times: 480, mal rules: 356, norm rules: 124
evict times: 500, mal rules: 373, norm rules: 127
evict times: 520, mal rules: 384, norm rules: 136
evict times: 540, mal rules: 400, norm rules: 140
evict times: 560, mal rules: 415, norm rules: 145
evict times: 580, mal rules: 427, norm rules: 153
evict times: 600, mal rules: 443, norm rules: 157
evict times: 620, mal rules: 457, norm rules: 163
evict times: 640, mal rules: 469, norm rules: 171
evict times: 660, mal rules: 484, norm rules: 176
evict times: 680, mal rules: 501, norm rules: 179
evict times: 700, mal rules: 513, norm rules: 187
evict times: 720, mal rules: 528, norm rules: 192
evict times: 740, mal rules: 543, norm rules: 197
evict times: 760, mal rules: 556, norm rules: 204
evict times: 780, mal rules: 571, norm rules: 209
evict times: 800, mal rules: 587, norm rules: 213
evict times: 820, mal rules: 598, norm rules: 222
evict times: 840, mal rules: 615, norm rules: 225
evict times: 860, mal rules: 629, norm rules: 231
evict times: 880, mal rules: 645, norm rules: 235
evict times: 900, mal rules: 660, norm rules: 240
evict times: 920, mal rules: 673, norm rules: 247
evict times: 940, mal rules: 688, norm rules: 252
evict times: 960, mal rules: 706, norm rules: 254
evict times: 980, mal rules: 719, norm rules: 261
evict times: 1000, mal rules: 733, norm rules: 267
