evict times: 100, mal rules: 69, norm rules: 31
evict times: 120, mal rules: 81, norm rules: 39
evict times: 140, mal rules: 96, norm rules: 44
evict times: 160, mal rules: 110, norm rules: 50
evict times: 180, mal rules: 126, norm rules: 54
evict times: 200, mal rules: 138, norm rules: 62
evict times: 220, mal rules: 154, norm rules: 66
evict times: 240, mal rules: 167, norm rules: 73
evict times: 260, mal rules: 183, norm rules: 77
evict times: 280, mal rules: 200, norm rules: 80
evict times: 300, mal rules: 218, norm rules: 82
evict times: 320, mal rules: 231, norm rules: 89
evict times: 340, mal rules: 247, norm rules: 93
evict times: 360, mal rules: 265, norm rules: 95
evict times: 380, mal rules: 279, norm rules: 101
evict times: 400, mal rules: 292, norm rules: 108
evict times: 420, mal rules: 307, norm rules: 113
evict times: 440, mal rules: 323, norm rules: 117
evict times: 460, mal rules: 338, norm rules: 122
evict times: 480, mal rules: 350, norm rules: 130
evict times: 500, mal rules: 368, norm rules: 132
evict times: 520, mal rules: 382, norm rules: 138
evict times: 540, mal rules: 396, norm rules: 144
evict times: 560, mal rules: 414, norm rules: 146
evict times: 580, mal rules: 427, norm rules: 153
evict times: 600, mal rules: 442, norm rules: 158
evict times: 620, mal rules: 459, norm rules: 161
evict times: 640, mal rules: 474, norm rules: 166
evict times: 660, mal rules: 489, norm rules: 171
evict times: 680, mal rules: 506, norm rules: 174
evict times: 700, mal rules: 520, norm rules: 180
evict times: 720, mal rules: 532, norm rules: 188
evict times: 740, mal rules: 548, norm rules: 192
evict times: 760, mal rules: 564, norm rules: 196
evict times: 780, mal rules: 578, norm rules: 202
evict times: 800, mal rules: 591, norm rules: 209
evict times: 820, mal rules: 605, norm rules: 215
evict times: 840, mal rules: 620, norm rules: 220
evict times: 860, mal rules: 632, norm rules: 228
evict times: 880, mal rules: 647, norm rules: 233
evict times: 900, mal rules: 665, norm rules: 235
evict times: 920, mal rules: 680, norm rules: 240
evict times: 940, mal rules: 695, norm rules: 245
evict times: 960, mal rules: 712, norm rules: 248
evict times: 980, mal rules: 726, norm rules: 254
evict times: 1000, mal rules: 739, norm rules: 261
