evict times: 100, mal rules: 76, norm rules: 24
evict times: 120, mal rules: 90, norm rules: 30
evict times: 140, mal rules: 104, norm rules: 36
evict times: 160, mal rules: 119, norm rules: 41
evict times: 180, mal rules: 134, norm rules: 46
evict times: 200, mal rules: 150, norm rules: 50
evict times: 220, mal rules: 164, norm rules: 56
evict times: 240, mal rules: 177, norm rules: 63
evict times: 260, mal rules: 192, norm rules: 68
evict times: 280, mal rules: 211, norm rules: 69
evict times: 300, mal rules: 227, norm rules: 73
evict times: 320, mal rules: 242, norm rules: 78
evict times: 340, mal rules: 257, norm rules: 83
evict times: 360, mal rules: 274, norm rules: 86
evict times: 380, mal rules: 288, norm rules: 92
evict times: 400, mal rules: 303, norm rules: 97
evict times: 420, mal rules: 321, norm rules: 99
evict times: 440, mal rules: 333, norm rules: 107
evict times: 460, mal rules: 348, norm rules: 112
evict times: 480, mal rules: 365, norm rules: 115
evict times: 500, mal rules: 377, norm rules: 123
evict times: 520, mal rules: 393, norm rules: 127
evict times: 540, mal rules: 410, norm rules: 130
evict times: 560, mal rules: 423, norm rules: 137
evict times: 580, mal rules: 435, norm rules: 145
evict times: 600, mal rules: 450, norm rules: 150
evict times: 620, mal rules: 468, norm rules: 152
evict times: 640, mal rules: 481, norm rules: 159
evict times: 660, mal rules: 496, norm rules: 164
evict times: 680, mal rules: 515, norm rules: 165
evict times: 700, mal rules: 528, norm rules: 172
evict times: 720, mal rules: 539, norm rules: 181
evict times: 740, mal rules: 555, norm rules: 185
evict times: 760, mal rules: 571, norm rules: 189
evict times: 780, mal rules: 586, norm rules: 194
evict times: 800, mal rules: 600, norm rules: 200
evict times: 820, mal rules: 617, norm rules: 203
evict times: 840, mal rules: 631, norm rules: 209
evict times: 860, mal rules: 644, norm rules: 216
evict times: 880, mal rules: 663, norm rules: 217
evict times: 900, mal rules: 676, norm rules: 224
evict times: 920, mal rules: 691, norm rules: 229
evict times: 940, mal rules: 707, norm rules: 233
evict times: 960, mal rules: 720, norm rules: 240
evict times: 980, mal rules: 736, norm rules: 244
evict times: 1000, mal rules: 752, norm rules: 248
