evict times: 100, mal rules: 69, norm rules: 31
evict times: 120, mal rules: 85, norm rules: 35
evict times: 140, mal rules: 99, norm rules: 41
evict times: 160, mal rules: 114, norm rules: 46
evict times: 180, mal rules: 130, norm rules: 50
evict times: 200, mal rules: 144, norm rules: 56
evict times: 220, mal rules: 160, norm rules: 60
evict times: 240, mal rules: 176, norm rules: 64
evict times: 260, mal rules: 191, norm rules: 69
evict times: 280, mal rules: 208, norm rules: 72
evict times: 300, mal rules: 223, norm rules: 77
evict times: 320, mal rules: 239, norm rules: 81
evict times: 340, mal rules: 251, norm rules: 89
evict times: 360, mal rules: 267, norm rules: 93
evict times: 380, mal rules: 283, norm rules: 97
evict times: 400, mal rules: 295, norm rules: 105
evict times: 420, mal rules: 310, norm rules: 110
evict times: 440, mal rules: 325, norm rules: 115
evict times: 460, mal rules: 337, norm rules: 123
evict times: 480, mal rules: 355, norm rules: 125
evict times: 500, mal rules: 366, norm rules: 134
evict times: 520, mal rules: 381, norm rules: 139
evict times: 540, mal rules: 396, norm rules: 144
evict times: 560, mal rules: 408, norm rules: 152
evict times: 580, mal rules: 423, norm rules: 157
evict times: 600, mal rules: 439, norm rules: 161
evict times: 620, mal rules: 451, norm rules: 169
evict times: 640, mal rules: 465, norm rules: 175
evict times: 660, mal rules: 480, norm rules: 180
evict times: 680, mal rules: 494, norm rules: 186
evict times: 700, mal rules: 505, norm rules: 195
evict times: 720, mal rules: 521, norm rules: 199
evict times: 740, mal rules: 535, norm rules: 205
evict times: 760, mal rules: 547, norm rules: 213
evict times: 780, mal rules: 562, norm rules: 218
evict times: 800, mal rules: 578, norm rules: 222
evict times: 820, mal rules: 589, norm rules: 231
evict times: 840, mal rules: 604, norm rules: 236
evict times: 860, mal rules: 620, norm rules: 240
evict times: 880, mal rules: 632, norm rules: 248
evict times: 900, mal rules: 646, norm rules: 254
evict times: 920, mal rules: 662, norm rules: 258
evict times: 940, mal rules: 675, norm rules: 265
evict times: 960, mal rules: 690, norm rules: 270
evict times: 980, mal rules: 706, norm rules: 274
evict times: 1000, mal rules: 718, norm rules: 282
