evict times: 100, mal rules: 70, norm rules: 30
evict times: 120, mal rules: 86, norm rules: 34
evict times: 140, mal rules: 99, norm rules: 41
evict times: 160, mal rules: 115, norm rules: 45
evict times: 180, mal rules: 131, norm rules: 49
evict times: 200, mal rules: 146, norm rules: 54
evict times: 220, mal rules: 162, norm rules: 58
evict times: 240, mal rules: 178, norm rules: 62
evict times: 260, mal rules: 189, norm rules: 71
evict times: 280, mal rules: 206, norm rules: 74
evict times: 300, mal rules: 221, norm rules: 79
evict times: 320, mal rules: 237, norm rules: 83
evict times: 340, mal rules: 254, norm rules: 86
evict times: 360, mal rules: 267, norm rules: 93
evict times: 380, mal rules: 283, norm rules: 97
evict times: 400, mal rules: 299, norm rules: 101
evict times: 420, mal rules: 314, norm rules: 106
evict times: 440, mal rules: 329, norm rules: 111
evict times: 460, mal rules: 346, norm rules: 114
evict times: 480, mal rules: 358, norm rules: 122
evict times: 500, mal rules: 373, norm rules: 127
evict times: 520, mal rules: 392, norm rules: 128
evict times: 540, mal rules: 404, norm rules: 136
evict times: 560, mal rules: 420, norm rules: 140
evict times: 580, mal rules: 436, norm rules: 144
evict times: 600, mal rules: 449, norm rules: 151
evict times: 620, mal rules: 464, norm rules: 156
evict times: 640, mal rules: 480, norm rules: 160
evict times: 660, mal rules: 493, norm rules: 167
evict times: 680, mal rules: 508, norm rules: 172
evict times: 700, mal rules: 524, norm rules: 176
evict times: 720, mal rules: 536, norm rules: 184
evict times: 740, mal rules: 551, norm rules: 189
evict times: 760, mal rules: 566, norm rules: 194
evict times: 780, mal rules: 578, norm rules: 202
evict times: 800, mal rules: 593, norm rules: 207
evict times: 820, mal rules: 610, norm rules: 210
evict times: 840, mal rules: 622, norm rules: 218
evict times: 860, mal rules: 637, norm rules: 223
evict times: 880, mal rules: 653, norm rules: 227
evict times: 900, mal rules: 665, norm rules: 235
evict times: 920, mal rules: 681, norm rules: 239
evict times: 940, mal rules: 698, norm rules: 242
evict times: 960, mal rules: 711, norm rules: 249
evict times: 980, mal rules: 727, norm rules: 253
evict times: 1000, mal rules: 743, norm rules: 257
