evict times: 100, mal rules: 69, norm rules: 31
evict times: 120, mal rules: 85, norm rules: 35
evict times: 140, mal rules: 101, norm rules: 39
evict times: 160, mal rules: 116, norm rules: 44
evict times: 180, mal rules: 134, norm rules: 46
evict times: 200, mal rules: 146, norm rules: 54
evict times: 220, mal rules: 162, norm rules: 58
evict times: 240, mal rules: 178, norm rules: 62
evict times: 260, mal rules: 194, norm rules: 66
evict times: 280, mal rules: 206, norm rules: 74
evict times: 300, mal rules: 222, norm rules: 78
evict times: 320, mal rules: 242, norm rules: 78
evict times: 340, mal rules: 255, norm rules: 85
evict times: 360, mal rules: 271, norm rules: 89
evict times: 380, mal rules: 286, norm rules: 94
evict times: 400, mal rules: 298, norm rules: 102
evict times: 420, mal rules: 313, norm rules: 107
evict times: 440, mal rules: 328, norm rules: 112
evict times: 460, mal rules: 342, norm rules: 118
evict times: 480, mal rules: 354, norm rules: 126
evict times: 500, mal rules: 370, norm rules: 130
evict times: 520, mal rules: 386, norm rules: 134
evict times: 540, mal rules: 401, norm rules: 139
evict times: 560, mal rules: 415, norm rules: 145
evict times: 580, mal rules: 430, norm rules: 150
evict times: 600, mal rules: 445, norm rules: 155
evict times: 620, mal rules: 460, norm rules: 160
evict times: 640, mal rules: 472, norm rules: 168
evict times: 660, mal rules: 492, norm rules: 168
evict times: 680, mal rules: 506, norm rules: 174
evict times: 700, mal rules: 520, norm rules: 180
evict times: 720, mal rules: 537, norm rules: 183
evict times: 740, mal rules: 552, norm rules: 188
evict times: 760, mal rules: 565, norm rules: 195
evict times: 780, mal rules: 582, norm rules: 198
evict times: 800, mal rules: 598, norm rules: 202
evict times: 820, mal rules: 612, norm rules: 208
evict times: 840, mal rules: 630, norm rules: 210
evict times: 860, mal rules: 644, norm rules: 216
evict times: 880, mal rules: 656, norm rules: 224
evict times: 900, mal rules: 670, norm rules: 230
evict times: 920, mal rules: 685, norm rules: 235
evict times: 940, mal rules: 699, norm rules: 241
evict times: 960, mal rules: 709, norm rules: 251
evict times: 980, mal rules: 725, norm rules: 255
evict times: 1000, mal rules: 740, norm rules: 260
