evict times: 100, mal rules: 73, norm rules: 27
evict times: 120, mal rules: 89, norm rules: 31
evict times: 140, mal rules: 105, norm rules: 35
evict times: 160, mal rules: 121, norm rules: 39
evict times: 180, mal rules: 132, norm rules: 48
evict times: 200, mal rules: 146, norm rules: 54
evict times: 220, mal rules: 162, norm rules: 58
evict times: 240, mal rules: 178, norm rules: 62
evict times: 260, mal rules: 193, norm rules: 67
evict times: 280, mal rules: 209, norm rules: 71
evict times: 300, mal rules: 225, norm rules: 75
evict times: 320, mal rules: 240, norm rules: 80
evict times: 340, mal rules: 258, norm rules: 82
evict times: 360, mal rules: 271, norm rules: 89
evict times: 380, mal rules: 286, norm rules: 94
evict times: 400, mal rules: 304, norm rules: 96
evict times: 420, mal rules: 317, norm rules: 103
evict times: 440, mal rules: 329, norm rules: 111
evict times: 460, mal rules: 343, norm rules: 117
evict times: 480, mal rules: 359, norm rules: 121
evict times: 500, mal rules: 370, norm rules: 130
evict times: 520, mal rules: 389, norm rules: 131
evict times: 540, mal rules: 401, norm rules: 139
evict times: 560, mal rules: 415, norm rules: 145
evict times: 580, mal rules: 432, norm rules: 148
evict times: 600, mal rules: 445, norm rules: 155
evict times: 620, mal rules: 460, norm rules: 160
evict times: 640, mal rules: 477, norm rules: 163
evict times: 660, mal rules: 489, norm rules: 171
evict times: 680, mal rules: 509, norm rules: 171
evict times: 700, mal rules: 522, norm rules: 178
evict times: 720, mal rules: 537, norm rules: 183
evict times: 740, mal rules: 553, norm rules: 187
evict times: 760, mal rules: 566, norm rules: 194
evict times: 780, mal rules: 580, norm rules: 200
evict times: 800, mal rules: 596, norm rules: 204
evict times: 820, mal rules: 610, norm rules: 210
evict times: 840, mal rules: 623, norm rules: 217
evict times: 860, mal rules: 638, norm rules: 222
evict times: 880, mal rules: 653, norm rules: 227
evict times: 900, mal rules: 665, norm rules: 235
evict times: 920, mal rules: 679, norm rules: 241
evict times: 940, mal rules: 698, norm rules: 242
evict times: 960, mal rules: 712, norm rules: 248
evict times: 980, mal rules: 724, norm rules: 256
evict times: 1000, mal rules: 737, norm rules: 263
