evict times: 100, mal rules: 72, norm rules: 28
evict times: 120, mal rules: 84, norm rules: 36
evict times: 140, mal rules: 100, norm rules: 40
evict times: 160, mal rules: 116, norm rules: 44
evict times: 180, mal rules: 128, norm rules: 52
evict times: 200, mal rules: 144, norm rules: 56
evict times: 220, mal rules: 161, norm rules: 59
evict times: 240, mal rules: 173, norm rules: 67
evict times: 260, mal rules: 189, norm rules: 71
evict times: 280, mal rules: 203, norm rules: 77
evict times: 300, mal rules: 217, norm rules: 83
evict times: 320, mal rules: 233, norm rules: 87
evict times: 340, mal rules: 245, norm rules: 95
evict times: 360, mal rules: 264, norm rules: 96
evict times: 380, mal rules: 278, norm rules: 102
evict times: 400, mal rules: 292, norm rules: 108
evict times: 420, mal rules: 311, norm rules: 109
evict times: 440, mal rules: 322, norm rules: 118
evict times: 460, mal rules: 339, norm rules: 121
evict times: 480, mal rules: 353, norm rules: 127
evict times: 500, mal rules: 368, norm rules: 132
evict times: 520, mal rules: 385, norm rules: 135
evict times: 540, mal rules: 400, norm rules: 140
evict times: 560, mal rules: 413, norm rules: 147
evict times: 580, mal rules: 433, norm rules: 147
evict times: 600, mal rules: 445, norm rules: 155
evict times: 620, mal rules: 460, norm rules: 160
evict times: 640, mal rules: 478, norm rules: 162
evict times: 660, mal rules: 489, norm rules: 171
evict times: 680, mal rules: 504, norm rules: 176
evict times: 700, mal rules: 520, norm rules: 180
evict times: 720, mal rules: 533, norm rules: 187
evict times: 740, mal rules: 549, norm rules: 191
evict times: 760, mal rules: 565, norm rules: 195
evict times: 780, mal rules: 581, norm rules: 199
evict times: 800, mal rules: 594, norm rules: 206
evict times: 820, mal rules: 612, norm rules: 208
evict times: 840, mal rules: 624, norm rules: 216
evict times: 860, mal rules: 641, norm rules: 219
evict times: 880, mal rules: 653, norm rules: 227
evict times: 900, mal rules: 668, norm rules: 232
evict times: 920, mal rules: 683, norm rules: 237
evict times: 940, mal rules: 699, norm rules: 241
evict times: 960, mal rules: 712, norm rules: 248
evict times: 980, mal rules: 727, norm rules: 253
evict times: 1000, mal rules: 743, norm rules: 257
