evict times: 100, mal rules: 72, norm rules: 28
evict times: 120, mal rules: 86, norm rules: 34
evict times: 140, mal rules: 102, norm rules: 38
evict times: 160, mal rules: 114, norm rules: 46
evict times: 180, mal rules: 131, norm rules: 49
evict times: 200, mal rules: 147, norm rules: 53
evict times: 220, mal rules: 159, norm rules: 61
evict times: 240, mal rules: 174, norm rules: 66
evict times: 260, mal rules: 191, norm rules: 69
evict times: 280, mal rules: 205, norm rules: 75
evict times: 300, mal rules: 217, norm rules: 83
evict times: 320, mal rules: 233, norm rules: 87
evict times: 340, mal rules: 246, norm rules: 94
evict times: 360, mal rules: 262, norm rules: 98
evict times: 380, mal rules: 278, norm rules: 102
evict times: 400, mal rules: 291, norm rules: 109
evict times: 420, mal rules: 307, norm rules: 113
evict times: 440, mal rules: 323, norm rules: 117
evict times: 460, mal rules: 334, norm rules: 126
evict times: 480, mal rules: 350, norm rules: 130
evict times: 500, mal rules: 367, norm rules: 133
evict times: 520, mal rules: 380, norm rules: 140
evict times: 540, mal rules: 396, norm rules: 144
evict times: 560, mal rules: 412, norm rules: 148
evict times: 580, mal rules: 427, norm rules: 153
evict times: 600, mal rules: 439, norm rules: 161
evict times: 620, mal rules: 453, norm rules: 167
evict times: 640, mal rules: 469, norm rules: 171
evict times: 660, mal rules: 481, norm rules: 179
evict times: 680, mal rules: 496, norm rules: 184
evict times: 700, mal rules: 513, norm rules: 187
evict times: 720, mal rules: 526, norm rules: 194
evict times: 740, mal rules: 541, norm rules: 199
evict times: 760, mal rules: 556, norm rules: 204
evict times: 780, mal rules: 569, norm rules: 211
evict times: 800, mal rules: 582, norm rules: 218
evict times: 820, mal rules: 600, norm rules: 220
evict times: 840, mal rules: 615, norm rules: 225
evict times: 860, mal rules: 630, norm rules: 230
evict times: 880, mal rules: 646, norm rules: 234
evict times: 900, mal rules: 662, norm rules: 238
evict times: 920, mal rules: 676, norm rules: 244
evict times: 940, mal rules: 690, norm rules: 250
evict times: 960, mal rules: 705, norm rules: 255
evict times: 980, mal rules: 718, norm rules: 262
evict times: 1000, mal rules: 732, norm rules: 268
