evict times: 100, mal rules: 72, norm rules: 28
evict times: 120, mal rules: 91, norm rules: 29
evict times: 140, mal rules: 103, norm rules: 37
evict times: 160, mal rules: 118, norm rules: 42
evict times: 180, mal rules: 136, norm rules: 44
evict times: 200, mal rules: 150, norm rules: 50
evict times: 220, mal rules: 166, norm rules: 54
evict times: 240, mal rules: 181, norm rules: 59
evict times: 260, mal rules: 194, norm rules: 66
evict times: 280, mal rules: 210, norm rules: 70
evict times: 300, mal rules: 226, norm rules: 74
evict times: 320, mal rules: 238, norm rules: 82
evict times: 340, mal rules: 256, norm rules: 84
evict times: 360, mal rules: 268, norm rules: 92
evict times: 380, mal rules: 287, norm rules: 93
evict times: 400, mal rules: 299, norm rules: 101
evict times: 420, mal rules: 312, norm rules: 108
evict times: 440, mal rules: 330, norm rules: 110
evict times: 460, mal rules: 341, norm rules: 119
evict times: 480, mal rules: 355, norm rules: 125
evict times: 500, mal rules: 372, norm rules: 128
evict times: 520, mal rules: 384, norm rules: 136
evict times: 540, mal rules: 399, norm rules: 141
evict times: 560, mal rules: 416, norm rules: 144
evict times: 580, mal rules: 427, norm rules: 153
evict times: 600, mal rules: 442, norm rules: 158
evict times: 620, mal rules: 459, norm rules: 161
evict times: 640, mal rules: 471, norm rules: 169
evict times: 660, mal rules: 486, norm rules: 174
evict times: 680, mal rules: 502, norm rules: 178
evict times: 700, mal rules: 513, norm rules: 187
evict times: 720, mal rules: 528, norm rules: 192
evict times: 740, mal rules: 544, norm rules: 196
evict times: 760, mal rules: 555, norm rules: 205
evict times: 780, mal rules: 575, norm rules: 205
evict times: 800, mal rules: 586, norm rules: 214
evict times: 820, mal rules: 600, norm rules: 220
evict times: 840, mal rules: 616, norm rules: 224
evict times: 860, mal rules: 627, norm rules: 233
evict times: 880, mal rules: 642, norm rules: 238
evict times: 900, mal rules: 659, norm rules: 241
evict times: 920, mal rules: 671, norm rules: 249
evict times: 940, mal rules: 686, norm rules: 254
evict times: 960, mal rules: 703, norm rules: 257
evict times: 980, mal rules: 713, norm rules: 267
evict times: 1000, mal rules: 729, norm rules: 271
