evict times: 100, mal rules: 72, norm rules: 28
evict times: 120, mal rules: 85, norm rules: 35
evict times: 140, mal rules: 105, norm rules: 35
evict times: 160, mal rules: 117, norm rules: 43
evict times: 180, mal rules: 133, norm rules: 47
evict times: 200, mal rules: 147, norm rules: 53
evict times: 220, mal rules: 159, norm rules: 61
evict times: 240, mal rules: 174, norm rules: 66
evict times: 260, mal rules: 186, norm rules: 74
evict times: 280, mal rules: 201, norm rules: 79
evict times: 300, mal rules: 213, norm rules: 87
evict times: 320, mal rules: 228, norm rules: 92
evict times: 340, mal rules: 243, norm rules: 97
evict times: 360, mal rules: 255, norm rules: 105
evict times: 380, mal rules: 270, norm rules: 110
evict times: 400, mal rules: 285, norm rules: 115
evict times: 420, mal rules: 297, norm rules: 123
evict times: 440, mal rules: 315, norm rules: 125
evict times: 460, mal rules: 327, norm rules: 133
evict times: 480, mal rules: 341, norm rules: 139
evict times: 500, mal rules: 357, norm rules: 143
evict times: 520, mal rules: 370, norm rules: 150
evict times: 540, mal rules: 386, norm rules: 154
evict times: 560, mal rules: 401, norm rules: 159
evict times: 580, mal rules: 413, norm rules: 167
evict times: 600, mal rules: 429, norm rules: 171
evict times: 620, mal rules: 442, norm rules: 178
evict times: 640, mal rules: 457, norm rules: 183
evict times: 660, mal rules: 472, norm rules: 188
evict times: 680, mal rules: 486, norm rules: 194
evict times: 700, mal rules: 503, norm rules: 197
evict times: 720, mal rules: 515, norm rules: 205
evict times: 740, mal rules: 530, norm rules: 210
evict times: 760, mal rules: 545, norm rules: 215
evict times: 780, mal rules: 557, norm rules: 223
evict times: 800, mal rules: 570, norm rules: 230
evict times: 820, mal rules: 587, norm rules: 233
evict times: 840, mal rules: 601, norm rules: 239
evict times: 860, mal rules: 616, norm rules: 244
evict times: 880, mal rules: 631, norm rules: 249
evict times: 900, mal rules: 640, norm rules: 260
evict times: 920, mal rules: 655, norm rules: 265
evict times: 940, mal rules: 669, norm rules: 271
evict times: 960, mal rules: 680, norm rules: 280
evict times: 980, mal rules: 694, norm rules: 286
evict times: 1000, mal rules: 712, norm rules: 288
