0.995	1	    0.94	1	    0.95	0.95
1	    1	    0.811	1	    0.88	0.9
0.995	0.94	0.935	0.95	0.91	1
0.995	0.89	0.985	0.95	0.95	0.95
1	    0.95	0.925	1	    0.83	0.95
1	    1	    0.99	1	    0.94	1
0.995	0.95	0.99	1	    0.98	0.95
1	    0.995	0.945	0.9	    0.99	1
0.995	0.9	    0.94	1	    0.945	0.95
0.985	0.971	0.99	1	    0.995	1
