70.94616	8.789873	3.252376	3.376075	3.240991	3.091487
40.464501	3.530215	3.767816	3.561719	3.194231	3.389997
88.499539	8.800315	3.498008	3.505019	3.239975	3.074528
69.876844	9.947498	2.871576	3.409427	3.668948	3.215536
39.737632	4.26354	    3.159887	3.342516	3.260674	3.690543
87.78456	3.418476	3.33395	    3.087587	3.660407	3.269815
98.161587	8.291177	3.183489	3.01764	    3.346511	3.271506
59.58796	4.507613	3.158469	2.973988	3.267776	3.599466
102.424705	6.24764	    3.740389	3.010399	3.603132	3.306804
81.534729	3.864103	3.385918	2.961398	3.219771	3.198293
