evict times: 100, mal rules: 51, norm rules: 49
evict times: 120, mal rules: 59, norm rules: 61
evict times: 140, mal rules: 70, norm rules: 70
evict times: 160, mal rules: 84, norm rules: 76
evict times: 180, mal rules: 97, norm rules: 83
evict times: 200, mal rules: 105, norm rules: 95
evict times: 220, mal rules: 118, norm rules: 102
evict times: 240, mal rules: 127, norm rules: 113
evict times: 260, mal rules: 138, norm rules: 122
evict times: 280, mal rules: 144, norm rules: 136
evict times: 300, mal rules: 153, norm rules: 147
evict times: 320, mal rules: 164, norm rules: 156
evict times: 340, mal rules: 176, norm rules: 164
evict times: 360, mal rules: 185, norm rules: 175
evict times: 380, mal rules: 196, norm rules: 184
evict times: 400, mal rules: 204, norm rules: 196
evict times: 420, mal rules: 218, norm rules: 202
evict times: 440, mal rules: 227, norm rules: 213
evict times: 460, mal rules: 234, norm rules: 226
evict times: 480, mal rules: 245, norm rules: 235
evict times: 500, mal rules: 255, norm rules: 245
evict times: 520, mal rules: 268, norm rules: 252
evict times: 540, mal rules: 272, norm rules: 268
evict times: 560, mal rules: 280, norm rules: 280
evict times: 580, mal rules: 287, norm rules: 293
evict times: 600, mal rules: 297, norm rules: 303
evict times: 620, mal rules: 305, norm rules: 315
evict times: 640, mal rules: 311, norm rules: 329
evict times: 660, mal rules: 323, norm rules: 337
evict times: 680, mal rules: 337, norm rules: 343
evict times: 700, mal rules: 348, norm rules: 352
evict times: 720, mal rules: 358, norm rules: 362
evict times: 740, mal rules: 369, norm rules: 371
evict times: 760, mal rules: 381, norm rules: 379
evict times: 780, mal rules: 394, norm rules: 386
evict times: 800, mal rules: 404, norm rules: 396
evict times: 820, mal rules: 413, norm rules: 407
evict times: 840, mal rules: 422, norm rules: 418
evict times: 860, mal rules: 432, norm rules: 428
evict times: 880, mal rules: 442, norm rules: 438
evict times: 900, mal rules: 455, norm rules: 445
evict times: 920, mal rules: 465, norm rules: 455
evict times: 940, mal rules: 477, norm rules: 463
evict times: 960, mal rules: 487, norm rules: 473
evict times: 980, mal rules: 497, norm rules: 483
evict times: 1000, mal rules: 508, norm rules: 492
