evict times: 100, mal rules: 92, norm rules: 8
evict times: 120, mal rules: 109, norm rules: 11
evict times: 140, mal rules: 127, norm rules: 13
evict times: 160, mal rules: 144, norm rules: 16
evict times: 180, mal rules: 161, norm rules: 19
evict times: 200, mal rules: 180, norm rules: 20
evict times: 220, mal rules: 198, norm rules: 22
evict times: 240, mal rules: 215, norm rules: 25
evict times: 260, mal rules: 233, norm rules: 27
evict times: 280, mal rules: 249, norm rules: 31
evict times: 300, mal rules: 267, norm rules: 33
evict times: 320, mal rules: 286, norm rules: 34
evict times: 340, mal rules: 305, norm rules: 35
evict times: 360, mal rules: 322, norm rules: 38
evict times: 380, mal rules: 340, norm rules: 40
evict times: 400, mal rules: 357, norm rules: 43
evict times: 420, mal rules: 376, norm rules: 44
evict times: 440, mal rules: 393, norm rules: 47
evict times: 460, mal rules: 412, norm rules: 48
evict times: 480, mal rules: 429, norm rules: 51
evict times: 500, mal rules: 447, norm rules: 53
evict times: 520, mal rules: 466, norm rules: 54
evict times: 540, mal rules: 484, norm rules: 56
evict times: 560, mal rules: 503, norm rules: 57
evict times: 580, mal rules: 520, norm rules: 60
evict times: 600, mal rules: 539, norm rules: 61
evict times: 620, mal rules: 557, norm rules: 63
evict times: 640, mal rules: 576, norm rules: 64
evict times: 660, mal rules: 594, norm rules: 66
evict times: 680, mal rules: 612, norm rules: 68
evict times: 700, mal rules: 630, norm rules: 70
evict times: 720, mal rules: 649, norm rules: 71
evict times: 740, mal rules: 666, norm rules: 74
evict times: 760, mal rules: 685, norm rules: 75
evict times: 780, mal rules: 702, norm rules: 78
evict times: 800, mal rules: 721, norm rules: 79
evict times: 820, mal rules: 740, norm rules: 80
evict times: 840, mal rules: 758, norm rules: 82
evict times: 860, mal rules: 776, norm rules: 84
evict times: 880, mal rules: 794, norm rules: 86
evict times: 900, mal rules: 812, norm rules: 88
evict times: 920, mal rules: 831, norm rules: 89
evict times: 940, mal rules: 850, norm rules: 90
evict times: 960, mal rules: 867, norm rules: 93
evict times: 980, mal rules: 885, norm rules: 95
evict times: 1000, mal rules: 904, norm rules: 96
